gun,value,durum
2019-11-02,10910.0,Yüksek Aktivite
2019-11-03,17391.0,Yüksek Aktivite
2019-11-04,10116.0,Yüksek Aktivite
2019-11-05,1458.0,Düşük Aktivite
2019-11-06,4525.0,Orta Aktivite
2019-11-07,4175.0,Orta Aktivite
2019-11-08,7166.0,Orta Aktivite
2019-11-09,4851.0,Orta Aktivite
2019-11-10,11176.0,Yüksek Aktivite
2019-11-11,18338.0,Yüksek Aktivite
2019-11-12,3215.0,Düşük Aktivite
2019-11-13,4599.0,Orta Aktivite
2019-11-14,6299.0,Orta Aktivite
2019-11-15,11156.0,Yüksek Aktivite
2019-11-16,10632.0,Yüksek Aktivite
2019-11-17,6858.0,Orta Aktivite
2019-11-18,3420.0,Düşük Aktivite
2019-11-19,4651.0,Orta Aktivite
2019-11-20,6164.0,Orta Aktivite
2019-11-21,5523.0,Orta Aktivite
2019-11-22,8291.0,Orta Aktivite
2019-11-23,21002.0,Yüksek Aktivite
2019-11-24,6044.0,Orta Aktivite
2019-11-25,4593.0,Orta Aktivite
2019-11-26,4365.0,Orta Aktivite
2019-11-27,6027.0,Orta Aktivite
2019-11-28,5705.0,Orta Aktivite
2019-11-29,6748.0,Orta Aktivite
2019-11-30,7019.0,Orta Aktivite
2019-12-01,11522.0,Yüksek Aktivite
2019-12-02,5453.0,Orta Aktivite
2019-12-03,3666.0,Düşük Aktivite
2019-12-04,3992.0,Düşük Aktivite
2019-12-05,7836.0,Orta Aktivite
2019-12-06,18014.0,Yüksek Aktivite
2019-12-07,8989.0,Orta Aktivite
2019-12-08,3645.0,Düşük Aktivite
2019-12-09,4394.0,Orta Aktivite
2019-12-10,936.0,Düşük Aktivite
2019-12-11,4897.0,Orta Aktivite
2019-12-12,5504.0,Orta Aktivite
2019-12-13,8966.0,Orta Aktivite
2019-12-14,9959.0,Yüksek Aktivite
2019-12-15,1693.0,Düşük Aktivite
2019-12-16,5026.0,Orta Aktivite
2019-12-17,7954.0,Orta Aktivite
2019-12-18,3891.0,Düşük Aktivite
2019-12-19,11099.0,Yüksek Aktivite
2019-12-20,9075.0,Yüksek Aktivite
2019-12-21,12356.0,Yüksek Aktivite
2019-12-22,2468.0,Düşük Aktivite
2019-12-23,6278.0,Orta Aktivite
2019-12-24,13092.0,Yüksek Aktivite
2019-12-25,4226.0,Orta Aktivite
2019-12-26,8030.0,Orta Aktivite
2019-12-27,17260.0,Yüksek Aktivite
2019-12-28,1036.0,Düşük Aktivite
2019-12-29,1035.0,Düşük Aktivite
2019-12-30,5783.0,Orta Aktivite
2019-12-31,7529.0,Orta Aktivite
2020-01-01,3897.0,Düşük Aktivite
2020-01-02,6340.0,Orta Aktivite
2020-01-03,6422.0,Orta Aktivite
2020-01-04,10420.0,Yüksek Aktivite
2020-01-05,1604.0,Düşük Aktivite
2020-01-06,7015.0,Orta Aktivite
2020-01-07,7887.0,Orta Aktivite
2020-01-08,8103.0,Orta Aktivite
2020-01-09,2164.0,Düşük Aktivite
2020-01-10,2273.0,Düşük Aktivite
2020-01-11,2700.0,Düşük Aktivite
2020-01-12,339.0,Düşük Aktivite
2020-01-13,4034.0,Orta Aktivite
2020-01-14,5677.0,Orta Aktivite
2020-01-15,3636.0,Düşük Aktivite
2020-01-16,8114.0,Orta Aktivite
2020-01-17,7660.0,Orta Aktivite
2020-01-18,6887.0,Orta Aktivite
2020-01-19,3604.0,Düşük Aktivite
2020-01-20,5928.0,Orta Aktivite
2020-01-21,6504.0,Orta Aktivite
2020-01-22,2232.0,Düşük Aktivite
2020-01-23,8913.0,Orta Aktivite
2020-01-24,11788.0,Yüksek Aktivite
2020-01-25,5129.0,Orta Aktivite
2020-01-26,4852.0,Orta Aktivite
2020-01-27,11198.0,Yüksek Aktivite
2020-01-28,5486.0,Orta Aktivite
2020-01-29,5087.0,Orta Aktivite
2020-01-30,8725.0,Orta Aktivite
2020-01-31,10098.0,Yüksek Aktivite
2020-02-01,6679.0,Orta Aktivite
2020-02-02,1854.0,Düşük Aktivite
2020-02-03,3602.0,Düşük Aktivite
2020-02-04,7743.0,Orta Aktivite
2020-02-05,8082.0,Orta Aktivite
2020-02-06,9820.0,Yüksek Aktivite
2020-02-07,9907.0,Yüksek Aktivite
2020-02-08,2369.0,Düşük Aktivite
2020-02-09,487.0,Düşük Aktivite
2020-02-10,4485.0,Orta Aktivite
2020-02-11,8282.0,Orta Aktivite
2020-02-12,5576.0,Orta Aktivite
2020-02-13,9123.0,Yüksek Aktivite
2020-02-14,12967.0,Yüksek Aktivite
2020-02-15,13972.0,Yüksek Aktivite
2020-02-16,2288.0,Düşük Aktivite
2020-02-17,7313.0,Orta Aktivite
2020-02-18,10638.0,Yüksek Aktivite
2020-02-19,6465.0,Orta Aktivite
2020-02-20,10890.0,Yüksek Aktivite
2020-02-21,8104.0,Orta Aktivite
2020-02-22,8005.0,Orta Aktivite
2020-02-23,3221.0,Düşük Aktivite
2020-02-24,13260.0,Yüksek Aktivite
2020-02-25,5419.0,Orta Aktivite
2020-02-26,13554.0,Yüksek Aktivite
2020-02-27,13632.0,Yüksek Aktivite
2020-02-28,5078.0,Orta Aktivite
2020-02-29,3613.0,Düşük Aktivite
2020-03-01,1395.0,Düşük Aktivite
2020-03-02,7725.0,Orta Aktivite
2020-03-03,5444.0,Orta Aktivite
2020-03-04,3984.0,Düşük Aktivite
2020-03-05,5725.0,Orta Aktivite
2020-03-06,13398.0,Yüksek Aktivite
2020-03-07,9012.0,Yüksek Aktivite
2020-03-08,5492.0,Orta Aktivite
2020-03-09,5106.0,Orta Aktivite
2020-03-10,8725.0,Orta Aktivite
2020-03-11,2906.0,Düşük Aktivite
2020-03-12,4400.0,Orta Aktivite
2020-03-13,4573.0,Orta Aktivite
2020-03-14,8588.0,Orta Aktivite
2020-03-15,13098.0,Yüksek Aktivite
2020-03-16,2762.0,Düşük Aktivite
2020-03-17,928.0,Düşük Aktivite
2020-03-18,7958.0,Orta Aktivite
2020-03-19,3268.0,Düşük Aktivite
2020-03-20,3521.0,Düşük Aktivite
2020-03-21,1518.0,Düşük Aktivite
2020-03-22,2286.0,Düşük Aktivite
2020-03-23,11659.0,Yüksek Aktivite
2020-03-24,3095.0,Düşük Aktivite
2020-03-25,6792.0,Orta Aktivite
2020-03-26,1498.0,Düşük Aktivite
2020-03-27,4169.0,Orta Aktivite
2020-03-28,1943.0,Düşük Aktivite
2020-03-29,583.0,Düşük Aktivite
2020-03-30,2885.0,Düşük Aktivite
2020-03-31,731.0,Düşük Aktivite
2020-04-01,1040.0,Düşük Aktivite
2020-04-02,2911.0,Düşük Aktivite
2020-04-03,2626.0,Düşük Aktivite
2020-04-04,486.0,Düşük Aktivite
2020-04-05,1613.0,Düşük Aktivite
2020-04-06,5027.0,Orta Aktivite
2020-04-07,1588.0,Düşük Aktivite
2020-04-08,2712.0,Düşük Aktivite
2020-04-09,2168.0,Düşük Aktivite
2020-04-10,2674.0,Düşük Aktivite
2020-04-11,3520.0,Düşük Aktivite
2020-04-12,1364.0,Düşük Aktivite
2020-04-13,2120.0,Düşük Aktivite
2020-04-14,2147.0,Düşük Aktivite
2020-04-15,1475.0,Düşük Aktivite
2020-04-16,4181.0,Orta Aktivite
2020-04-17,2271.0,Düşük Aktivite
2020-04-18,2225.0,Düşük Aktivite
2020-04-19,1285.0,Düşük Aktivite
2020-04-20,1823.0,Düşük Aktivite
2020-04-21,1548.0,Düşük Aktivite
2020-04-22,3761.0,Düşük Aktivite
2020-04-23,2964.0,Düşük Aktivite
2020-04-24,1787.0,Düşük Aktivite
2020-04-25,1526.0,Düşük Aktivite
2020-04-26,4125.0,Orta Aktivite
2020-04-27,8715.0,Orta Aktivite
2020-04-28,1115.0,Düşük Aktivite
2020-04-29,1698.0,Düşük Aktivite
2020-04-30,2811.0,Düşük Aktivite
2020-05-01,10654.0,Yüksek Aktivite
2020-05-02,1461.0,Düşük Aktivite
2020-05-03,11104.0,Yüksek Aktivite
2020-05-04,1971.0,Düşük Aktivite
2020-05-05,2603.0,Düşük Aktivite
2020-05-06,2160.0,Düşük Aktivite
2020-05-07,2302.0,Düşük Aktivite
2020-05-08,10586.0,Yüksek Aktivite
2020-05-09,12887.0,Yüksek Aktivite
2020-05-10,10511.0,Yüksek Aktivite
2020-05-11,2907.0,Düşük Aktivite
2020-05-12,2423.0,Düşük Aktivite
2020-05-13,1608.0,Düşük Aktivite
2020-05-14,5388.0,Orta Aktivite
2020-05-15,1357.0,Düşük Aktivite
2020-05-16,1141.0,Düşük Aktivite
2020-05-17,7026.0,Orta Aktivite
2020-05-18,3354.0,Düşük Aktivite
2020-05-19,4722.0,Orta Aktivite
2020-05-20,1659.0,Düşük Aktivite
2020-05-21,4709.0,Orta Aktivite
2020-05-22,7747.0,Orta Aktivite
2020-05-23,4503.0,Orta Aktivite
2020-05-24,6231.0,Orta Aktivite
2020-05-25,10581.0,Yüksek Aktivite
2020-05-26,7404.0,Orta Aktivite
2020-05-27,1460.0,Düşük Aktivite
2020-05-28,8941.0,Orta Aktivite
2020-05-29,3853.0,Düşük Aktivite
2020-05-30,1224.0,Düşük Aktivite
2020-05-31,2882.0,Düşük Aktivite
2020-06-01,2839.0,Düşük Aktivite
2020-06-02,3033.0,Düşük Aktivite
2020-06-03,10473.0,Yüksek Aktivite
2020-06-04,13397.0,Yüksek Aktivite
2020-06-05,9284.0,Yüksek Aktivite
2020-06-06,7624.0,Orta Aktivite
2020-06-07,6626.0,Orta Aktivite
2020-06-08,11820.0,Yüksek Aktivite
2020-06-09,14267.0,Yüksek Aktivite
2020-06-10,8925.0,Orta Aktivite
2020-06-11,4657.0,Orta Aktivite
2020-06-12,21988.0,Yüksek Aktivite
2020-06-13,10562.0,Yüksek Aktivite
2020-06-14,7220.0,Orta Aktivite
2020-06-15,1167.0,Düşük Aktivite
2020-06-16,13006.0,Yüksek Aktivite
2020-06-17,20600.0,Yüksek Aktivite
2020-06-18,10715.0,Yüksek Aktivite
2020-06-19,18184.0,Yüksek Aktivite
2020-06-20,10104.0,Yüksek Aktivite
2020-06-21,9829.0,Yüksek Aktivite
2020-06-22,7681.0,Orta Aktivite
2020-06-23,11604.0,Yüksek Aktivite
2020-06-24,15351.0,Yüksek Aktivite
2020-06-25,10141.0,Yüksek Aktivite
2020-06-26,9242.0,Yüksek Aktivite
2020-06-27,7831.0,Orta Aktivite
2020-06-28,28135.0,Yüksek Aktivite
2020-06-29,5863.0,Orta Aktivite
2020-06-30,14943.0,Yüksek Aktivite
2020-07-01,14870.0,Yüksek Aktivite
2020-07-02,2835.0,Düşük Aktivite
2020-07-03,5395.0,Orta Aktivite
2020-07-04,10986.0,Yüksek Aktivite
2020-07-05,6284.0,Orta Aktivite
2020-07-06,6460.0,Orta Aktivite
2020-07-07,7495.0,Orta Aktivite
2020-07-08,10043.0,Yüksek Aktivite
2020-07-09,13613.0,Yüksek Aktivite
2020-07-10,9717.0,Yüksek Aktivite
2020-07-11,5690.0,Orta Aktivite
2020-07-12,8034.0,Orta Aktivite
2020-07-13,16840.0,Yüksek Aktivite
2020-07-14,4895.0,Orta Aktivite
2020-07-15,20273.0,Yüksek Aktivite
2020-07-16,14780.0,Yüksek Aktivite
2020-07-17,13810.0,Yüksek Aktivite
2020-07-18,8425.0,Orta Aktivite
2020-07-19,14286.0,Yüksek Aktivite
2020-07-20,6834.0,Orta Aktivite
2020-07-21,14842.0,Yüksek Aktivite
2020-07-22,3637.0,Düşük Aktivite
2020-07-23,16741.0,Yüksek Aktivite
2020-07-24,6818.0,Orta Aktivite
2020-07-25,5594.0,Orta Aktivite
2020-07-26,13942.0,Yüksek Aktivite
2020-07-27,2517.0,Düşük Aktivite
2020-07-28,5614.0,Orta Aktivite
2020-07-29,11918.0,Yüksek Aktivite
2020-07-30,13071.0,Yüksek Aktivite
2020-07-31,7269.0,Orta Aktivite
2020-08-01,5324.0,Orta Aktivite
2020-08-02,10396.0,Yüksek Aktivite
2020-08-03,3467.0,Düşük Aktivite
2020-08-04,17376.0,Yüksek Aktivite
2020-08-05,6211.0,Orta Aktivite
2020-08-06,11717.0,Yüksek Aktivite
2020-08-07,11364.0,Yüksek Aktivite
2020-08-08,6458.0,Orta Aktivite
2020-08-09,5472.0,Orta Aktivite
2020-08-10,7520.0,Orta Aktivite
2020-08-11,5863.0,Orta Aktivite
2020-08-12,1219.0,Düşük Aktivite
2020-08-13,2781.0,Düşük Aktivite
2020-08-14,3113.0,Düşük Aktivite
2020-08-15,7275.0,Orta Aktivite
2020-08-16,13684.0,Yüksek Aktivite
2020-08-17,8525.0,Orta Aktivite
2020-08-18,4638.0,Orta Aktivite
2020-08-19,7440.0,Orta Aktivite
2020-08-20,4702.0,Orta Aktivite
2020-08-21,13300.0,Yüksek Aktivite
2020-08-22,1966.0,Düşük Aktivite
2020-08-23,1590.0,Düşük Aktivite
2020-08-24,7919.0,Orta Aktivite
2020-08-25,12361.0,Yüksek Aktivite
2020-08-26,5450.0,Orta Aktivite
2020-08-27,8828.0,Orta Aktivite
2020-08-28,7884.0,Orta Aktivite
2020-08-29,5987.0,Orta Aktivite
2020-08-30,2726.0,Düşük Aktivite
2020-08-31,14760.0,Yüksek Aktivite
2020-09-01,11532.0,Yüksek Aktivite
2020-09-02,8691.0,Orta Aktivite
